"Description"	"Symbole"	"Titre"	"Sous-catégorie"	"Type"	"Acheteur"	"Vendeur"	"Clôture"	"Devise prix"	"RM (%)"	"Rend. éché. - Marché (%)"	"Exclu de la facturation"
"GST TELECOMM INC (US$) *"	""	"272088"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"GT GROUP TELECOM -A VTG"	"GTTAF"	"296799"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GT GROUP TELECOM INC -B L"	"GTTLQ"	"296797"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"GTAA CB 4.7% 15FV16"	""	"E39763"	"Obligations municipales & para-gouvernementales"	"2606000"	"106,096"	"106,096"	"106,096"	"CAD"	"4,43"	"3,571477"	"Non"
"GTAA CB 144A 5.26% 17AV18"	""	"E39768"	"Obligations municipales & para-gouvernementales"	"2606000"	"107,235"	"107,235"	"107,235"	"CAD"	"4,91"	"4,209238"	"Non"
"GTAA-02-2 144A6.25%13DC12"	""	"E39754"	"Obligations municipales & para-gouvernementales"	"2606000"	"111,071"	"111,071"	"111,071"	"CAD"	"5,63"	"2,259191"	"Non"
"GUARD INC"	"GUA.H"	"307082"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GUARDIAN CAP GROUP-A NV"	"GCG.A"	"307147"	"Actions ordinaires"	"330"	"7,500"	"7,600"	"7,500"	"CAD"	"2,00"	""	"Non"
"GUCCI GROUP NV NY REG"	"GUCG"	"307359"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"156,000"	"USD"	"n/d"	""	"Non"
"GUESS INC"	"GES"	"307443"	"Actions ordinaires"	"315"	"40,270"	"40,310"	"40,320"	"USD"	"1,24"	""	"Non"
"GUIDANT CORP *"	"GDT"	"307513"	"Actions ordinaires"	"315"	"79,980"	"80,100"	"0,000"	"USD"	"0,50"	""	"Non"
"GUINNESS PLC SPONSRD-ADR*"	""	"308260"	"Actions ordinaires"	"330"	"48,500"	"48,500"	"48,500"	"USD"	"0,00"	""	"Non"
"GULF CDA RES LTD ORD *"	""	"308756"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"GW CDN FD /S/N"	"WVN613"	"942953"	"Fonds d'actions canadiennes"	"3807040"	"7,810"	"7,810"	"7,810"	"CAD"	"n/d"	""	"Non"
"GW CDN I /S/N"	"WVN618"	"929670"	"Fonds d'actions canadiennes"	"3807040"	"8,110"	"8,110"	"8,110"	"CAD"	"n/d"	""	"Non"
"GWTWR CDN /S/N"	"WVN610"	"998759"	"Fonds d'actions canadiennes"	"3807040"	"8,460"	"8,460"	"8,460"	"CAD"	"n/d"	""	"Non"
"GWTWR DIV CDN II/S/N"	"WVN692"	"943155"	"Fonds d'actions canadiennes"	"3807040"	"8,520"	"8,520"	"8,520"	"CAD"	"n/d"	""	"Non"
"GWTWR EQL CDN II/D/N"	"WVN642"	"943066"	"Fonds d'actions canadiennes"	"3807040"	"9,360"	"9,360"	"9,360"	"CAD"	"n/d"	""	"Non"
"H & R BLOCK INC"	"HRB"	"076257"	"Actions ordinaires"	"315"	"22,260"	"22,270"	"22,240"	"USD"	"2,70"	""	"Non"
"H&R REIT-STAPLED UNIT"	"HR.UN"	"310809"	"Société de placement immobilier"	"3158001"	"15,750"	"15,850"	"15,850"	"CAD"	"4,54"	""	"Non"
"H.J.HEINZ CO"	"HNZ"	"319814"	"Actions ordinaires"	"315"	"42,500"	"42,510"	"42,520"	"USD"	"3,95"	""	"Non"
"HALLIBURTON CO."	"HAL"	"311787"	"Actions ordinaires"	"315"	"31,070"	"31,080"	"31,070"	"USD"	"1,16"	""	"Non"
"HALLWOOD ENERGY CR DEL"	"HECO"	"312002"	"Actions ordinaires"	"330"	"12,500"	"12,500"	"0,000"	"USD"	"n/d"	""	"Non"
"HALTERM INCOME FUND T/U"	"HAL.UN"	"312444"	"Fiducies de redevances"	"3308001"	"19,010"	"19,100"	"19,100"	"CAD"	"0,00"	""	"Non"
"HANCOCK JOHN TAX-ADVANTAG"	"HTD"	"362251"	"Actions ordinaires"	"3308015"	"13,020"	"13,040"	"13,030"	"USD"	"n/d"	""	"Non"
"HANESBRANDS INC"	"HBI"	"313236"	"Actions ordinaires"	"315"	"22,900"	"22,910"	"22,900"	"USD"	"n/d"	""	"Non"
"HANG SENG BK -SPON ADR-"	"HSNGY"	"313293"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"14,250"	"USD"	"3,95"	""	"Non"
"HARBINGER CORP *"	""	"313680"	"Actions ordinaires"	"330"	"18,500"	"18,500"	"18,500"	"USD"	"n/d"	""	"Non"
"HARBOUR CC /S/N"	"CIG790"	"998764"	"Fonds d'actions canadiennes"	"3807154"	"22,870"	"22,870"	"22,870"	"CAD"	"0,63"	""	"Non"
"HARBOUR CR&REV /N"	"CIG691"	"998991"	"Fonds de placement équilibré"	"3807155"	"16,910"	"16,910"	"16,910"	"CAD"	"1,99"	""	"Non"
"HARBOUR CR&REV S/N"	"CIG891"	"998992"	"Fonds de placement équilibré"	"3807155"	"16,910"	"16,910"	"16,910"	"CAD"	"1,99"	""	"Non"
"HARBOUR FDS S/N"	"CIG890"	"998990"	"Fonds d'actions canadiennes"	"3807154"	"18,940"	"18,940"	"18,940"	"CAD"	"4,52"	""	"Non"
"HARBOUR FND /D"	"CIG890C"	"998871"	"Fonds d'actions canadiennes"	"3807150"	"12,210"	"12,210"	"12,210"	"CAD"	"n/d"	""	"Non"
"HARBOUR GWTH&INCM /D"	"CIG891C"	"998843"	"Fonds de placement équilibré"	"3807550"	"9,790"	"9,790"	"9,790"	"CAD"	"n/d"	""	"Non"
"HARBOUR SECT SHS /D"	"CIG790C"	"998845"	"Fonds d'actions canadiennes"	"3807150"	"10,240"	"10,240"	"10,240"	"CAD"	"n/d"	""	"Non"
"HARLEY-DAVIDSON INC"	"HOG"	"314600"	"Actions ordinaires"	"315"	"23,400"	"23,410"	"23,420"	"USD"	"1,71"	""	"Non"
"HARRAH'S ENTMT INC *"	"HET"	"315070"	"Actions ordinaires"	"330"	"89,450"	"89,490"	"89,450"	"USD"	"1,79"	""	"Non"
"HARRY WINSTON DIAMOND CRP"	"HW"	"313654"	"Actions ordinaires"	"315"	"10,800"	"11,000"	"10,900"	"CAD"	"1,94"	""	"Non"
"HARSCO CORP / RTS"	"HSC"	"315903"	"Actions ordinaires"	"315"	"32,130"	"32,160"	"32,130"	"USD"	"2,55"	""	"Non"
"HARTFORD FINANCIAL SVC GP"	"HIG"	"316159"	"Actions ordinaires"	"315"	"24,660"	"24,680"	"24,660"	"USD"	"0,81"	""	"Non"
"HARTMARX CORPORATION"	"HMX"	"316257"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,010"	"USD"	"0,00"	""	"Non"
"HARVEST CONV 7.25% 28FV14"	"HTE.DB.F"	"T78727"	"Débentures convertibles"	"2756000"	"101,500"	"101,750"	"101,500"	"CAD"	"7,14"	"6,821249"	"Non"
"HARVEST CV 6.4% 31OC12"	"HTE.DB.D"	"T78720"	"Débentures convertibles"	"2756000"	"101,010"	"101,300"	"101,050"	"CAD"	"6,33"	"5,977340"	"Non"
"HARVEST CV 7.25% 30SP13"	"HTE.DB.E"	"T78723"	"Débentures convertibles"	"2756000"	"101,610"	"101,700"	"101,610"	"CAD"	"7,14"	"6,744190"	"Non"
"HARVEST CV 6.5% 31DC10"	"HTE.DB.B"	"T78715"	"Débentures convertibles"	"2756000"	"101,300"	"101,500"	"101,280"	"CAD"	"6,42"	"5,069619"	"Non"
"HARVEST EN CV 7.5% 31MI15"	"HTE.DB.G"	"T78732"	"Débentures convertibles"	"2756000"	"103,500"	"103,700"	"103,500"	"CAD"	"7,25"	"6,707179"	"Non"
"HARVEST ENERGY TRUST T/U*"	"HTE.UN"	"316576"	"Fiducies de redevances"	"3308001"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"HASBRO INC"	"HAS"	"317198"	"Actions ordinaires"	"315"	"31,380"	"31,400"	"31,420"	"USD"	"2,55"	""	"Non"
"HAUPPAUGE DIGITAL"	"HAUP"	"317455"	"Actions ordinaires"	"330"	"0,800"	"0,860"	"0,800"	"USD"	"n/d"	""	"Non"
"HAVEN BANCORP INC"	"HAVN"	"317488"	"Actions ordinaires"	"330"	"28,125"	"28,125"	"28,125"	"USD"	"0,00"	""	"Non"
"HAYNES INTERNATIONAL"	"HAYN"	"317788"	"Actions ordinaires"	"315"	"31,360"	"31,420"	"31,420"	"USD"	"n/d"	""	"Non"
"HB MSCI EMG MK BULL+A ET*"	"HJU"	"325020"	"Actions ordinaires"	"330"	"4,210"	"4,220"	"4,210"	"CAD"	"n/d"	""	"Non"
"HB MSCI EMG MK BULL+A ETF"	"HJU"	"325038"	"Actions ordinaires"	"330"	"12,910"	"13,170"	"12,920"	"CAD"	"n/d"	""	"Non"
"HB NYMEX CRUDE OIL BEAR+A"	"HOD"	"325003"	"Actions ordinaires"	"315"	"10,080"	"10,140"	"10,090"	"CAD"	"n/d"	""	"Non"
"HB NYMEX CRUDE OIL BULL+A"	"HOU"	"325039"	"Actions ordinaires"	"315"	"8,160"	"8,180"	"8,180"	"CAD"	"n/d"	""	"Non"
"HB NYMEX NATL GAS BEAR+"	"HND"	"324985"	"Actions ordinaires"	"315"	"4,650"	"4,670"	"4,670"	"CAD"	"n/d"	""	"Non"
"HB NYMEX NATL GAS BULL+A"	"HNU"	"325065"	"Actions ordinaires"	"315"	"11,840"	"11,860"	"11,850"	"CAD"	"n/d"	""	"Non"
"HB NYMEX NATL GAS BULL+A*"	"HNU"	"325049"	"Actions ordinaires"	"330"	"2,690"	"2,720"	"2,700"	"CAD"	"n/d"	""	"Non"
"HB S&P/TSX 60 BEAR+A ETF"	"HXD"	"324943"	"Autres titres"	"315"	"13,610"	"13,630"	"13,620"	"CAD"	"n/d"	""	"Non"
"HB S&P/TSX 60 BULL+A ETF"	"HXU"	"324963"	"Autres titres"	"315"	"16,250"	"16,340"	"16,270"	"CAD"	"n/d"	""	"Non"
"HB S&P/TSX CAP BEAR+A ETF"	"HED"	"324966"	"Actions ordinaires"	"315"	"5,980"	"6,150"	"6,110"	"CAD"	"n/d"	""	"Non"
"HB S&P/TSX CAP FNL BL ETF"	"HFU"	"324964"	"Actions ordinaires"	"315"	"9,510"	"9,600"	"9,520"	"CAD"	"n/d"	""	"Non"
"HB S&P/TSX CP EG BULL ETF"	"HEU"	"324968"	"Actions ordinaires"	"315"	"7,210"	"7,300"	"7,250"	"CAD"	"n/d"	""	"Non"
"HB S&P/TSX CP FN BEAR ETF"	"HFD"	"324969"	"Actions ordinaires"	"315"	"11,060"	"11,100"	"11,090"	"CAD"	"n/d"	""	"Non"
"HB S&P/TSX GL BASE BULL+A"	"HMU"	"325061"	"Actions ordinaires"	"330"	"15,060"	"15,170"	"15,100"	"CAD"	"n/d"	""	"Non"
"HB S&P/TSX GL GLD BUL ETF"	"HGU"	"324967"	"Actions ordinaires"	"315"	"10,800"	"10,820"	"10,780"	"CAD"	"n/d"	""	"Non"
"HB S&P/TSX GLB MNG BULL+*"	"HMU"	"325011"	"Actions ordinaires"	"330"	"5,610"	"5,650"	"5,620"	"CAD"	"n/d"	""	"Non"
"HB S&P/TSX GLB MNG BULL+*"	"HMU"	"325034"	"Actions ordinaires"	"330"	"33,270"	"33,470"	"33,430"	"CAD"	"n/d"	""	"Non"
"HBOS PLC SPONS ADR *"	"HBOOY"	"310518"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"0,700"	"USD"	"n/d"	""	"Non"
"HCC INS HLDGS INC"	"HCC"	"310522"	"Actions ordinaires"	"315"	"27,180"	"27,190"	"27,160"	"USD"	"1,99"	""	"Non"
"HCP INC"	"HCP"	"310797"	"Actions ordinaires"	"3158008"	"29,320"	"29,340"	"29,360"	"USD"	"6,27"	""	"Non"
"HDFC BANK LTD ADR"	"HDB"	"310614"	"Actions ordinaires"	"3158000"	"128,310"	"128,370"	"128,470"	"USD"	"0,48"	""	"Non"
"HEADWATERS INCORPORATED"	"HW"	"318788"	"Actions ordinaires"	"315"	"5,840"	"5,850"	"5,850"	"USD"	"n/d"	""	"Non"
"HEALTH CARE REIT INC"	"HCN"	"318660"	"Actions ordinaires"	"3158008"	"43,250"	"43,300"	"43,320"	"USD"	"6,28"	""	"Non"
"HEALTH CH CV10.375%15AP9*"	""	"T79541"	"Obligations (autres)"	"2606000"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	"n/d"	"Non"
"HEALTH MGMT ASSOC INC-A"	"HMA"	"318818"	"Actions ordinaires"	"315"	"6,790"	"6,800"	"6,790"	"USD"	"589,10"	""	"Non"
"HECHINGER CV 5.5% 1AP12"	"HECHH"	"T80050"	"Obligations à escompte (autres)"	"2756000"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	"n/d"	"Non"
"HECLA MINING CV PR-B"	"HL.PR.B"	"319302"	"Actions privilégiées"	"310"	"50,000"	"51,000"	"0,000"	"USD"	"7,00"	""	"Non"
"HEGCO CANADA INC"	"HEGCF"	"319463"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"HEINEKEN N V ADR"	"HINKY"	"319740"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"24,850"	"USD"	"1,43"	""	"Non"
"HELD#3 HOME EQTY LAND-LPU"	""	"319909"	"Actions ordinaires"	"3308002"	"1,130"	"1,130"	"1,130"	"CAD"	"n/d"	""	"Non"
"HELEN OF TROY CORP LTD"	"HELE"	"319935"	"Actions ordinaires"	"315"	"24,230"	"24,280"	"24,230"	"USD"	"n/d"	""	"Non"
"HELMERICH & PAYNE INC"	"HP"	"320051"	"Actions ordinaires"	"315"	"44,720"	"44,750"	"44,710"	"USD"	"0,45"	""	"Non"
"HENKEL AG & CO KGAA ADR"	"HENOY"	"320330"	"Actions privilégiées"	"3108000"	"0,000"	"0,000"	"51,050"	"USD"	"1,34"	""	"Non"
"HENNES & MAURITZ AB ADR"	"HNNMY"	"320363"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"11,080"	"USD"	"n/d"	""	"Non"
"HERCULES INC. *"	"HPC"	"320663"	"Actions ordinaires"	"330"	"19,070"	"19,210"	"19,170"	"USD"	"1,04"	""	"Non"
"HEROUX-DEVTEK INC"	"HRX"	"320695"	"Actions ordinaires"	"330"	"5,260"	"5,290"	"5,260"	"CAD"	"n/d"	""	"Non"
"HERSHEY COMPANY (THE)"	"HSY"	"320721"	"Actions ordinaires"	"315"	"36,460"	"36,490"	"36,450"	"USD"	"3,26"	""	"Non"
"HEWLETT PACKARD CO"	"HPQ"	"320770"	"Actions ordinaires"	"315"	"50,060"	"50,080"	"50,060"	"USD"	"0,64"	""	"Non"
"HIGH INCM PRIN&YLD SEC-PR"	"PAY.PR.A"	"321183"	"Actions privilégiées"	"3108005"	"24,930"	"24,990"	"24,930"	"CAD"	"5,52"	""	"Non"
"HIGH RIVER GOLD MINES LTD"	"HRG"	"321385"	"Actions ordinaires"	"330"	"0,760"	"0,780"	"0,770"	"CAD"	"n/d"	""	"Non"
"HIGH YIELD & MTG PLUS T/U"	"HYM.UN"	"321450"	"Fonds à capitalisation fermée: Obligations"	"3308001"	"16,750"	"16,970"	"16,700"	"CAD"	"11,23"	""	"Non"
"HIGHGROUND CAPITAL CORP *"	"HCC"	"321219"	"Actions ordinaires"	"330"	"6,550"	"7,200"	"7,040"	"CAD"	"n/d"	""	"Non"
"HIGHPOINT TELECOMM INC"	""	"321390"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"HILL INTERNATIONAL INC"	"HINT"	"321913"	"Actions ordinaires"	"315"	"5,290"	"5,300"	"5,310"	"USD"	"n/d"	""	"Non"
"HILL-ROM HOLDINGS INC"	"HRC"	"321917"	"Actions ordinaires"	"315"	"24,110"	"24,130"	"24,090"	"USD"	"1,70"	""	"Non"
"HILLENBRAND INC"	"HI"	"321936"	"Actions ordinaires"	"315"	"17,880"	"17,890"	"17,890"	"USD"	"4,19"	""	"Non"
"HILLENBRAND INDUSTRIES I*"	"HB"	"321935"	"Actions ordinaires"	"315"	"47,790"	"47,920"	"47,800"	"USD"	"2,38"	""	"Non"
"HILTON HOTELS CORP *"	"HLT"	"322115"	"Actions ordinaires"	"330"	"47,470"	"47,490"	"47,480"	"USD"	"0,34"	""	"Non"
"HIRSCH INTL CL.A *"	"HRSH"	"322292"	"Actions ordinaires"	"330"	"0,303"	"0,308"	"0,303"	"USD"	"12,47"	""	"Non"
"HITACHI LTD ADR - 10 COM"	"HIT"	"322540"	"Actions ordinaires"	"3158000"	"35,570"	"35,580"	"35,570"	"USD"	"1,77"	""	"Non"
"HLD LAND DEV LPU"	"HLD.UN.H"	"310715"	"Actions ordinaires"	"3308002"	"0,135"	"0,000"	"0,135"	"CAD"	"n/d"	""	"Non"
"HMH CHINA INVESTMENTS LT*"	""	"310598"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"HOLLINGER INC -RET-"	"HLG.C"	"323170"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"HOLLINGER INC SER-II PFD*"	""	"323165"	"Actions privilégiées"	"310"	"9,750"	"9,750"	"0,000"	"CAD"	"3,61"	""	"Non"
"HOLLYWOOD MEDIA CORP"	"HOLL"	"323244"	"Actions ordinaires"	"330"	"1,360"	"1,370"	"1,370"	"USD"	"n/d"	""	"Non"
"HOME CAPITAL GROUP INC"	"HCG"	"323521"	"Actions ordinaires"	"330"	"39,790"	"40,090"	"40,080"	"CAD"	"1,60"	""	"Non"
"HOME DEPOT INC"	"HD"	"323525"	"Actions ordinaires"	"315"	"27,590"	"27,600"	"27,620"	"USD"	"3,26"	""	"Non"
"HOME EQUITY LAND DV LPU#3"	""	"323530"	"Actions ordinaires"	"3308002"	"1,130"	"1,130"	"1,130"	"CAD"	"n/d"	""	"Non"
"HOME INNS&HOTELS MGMT ADR"	"HMIN"	"323588"	"Actions ordinaires"	"3158000"	"31,960"	"31,990"	"31,960"	"USD"	"n/d"	""	"Non"
"HOME PRODUCTS INC"	""	"324082"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"HOME PROPERTIES INC"	"HME"	"324111"	"Actions ordinaires"	"3158008"	"44,430"	"44,480"	"44,390"	"USD"	"6,04"	""	"Non"
"HOMEPROJECT.COM INC"	"HMPJF"	"324086"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"HOMESERVE TECHNOLOGIES IN"	"HTIDF"	"323553"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"HONDA MTR CO LTD SPN ADR"	"HMC"	"324683"	"Actions ordinaires"	"3158000"	"35,080"	"35,100"	"35,060"	"USD"	"0,00"	""	"Non"
"HONEYWELL INC / RTS *"	""	"324715"	"Actions ordinaires"	"330"	"52,500"	"52,500"	"0,000"	"USD"	"0,00"	""	"Non"
"HONEYWELL INTL INC"	"HON"	"324716"	"Actions ordinaires"	"315"	"40,220"	"40,240"	"40,220"	"USD"	"3,01"	""	"Non"
"HONG KONG EXCH-UNSPN ADR"	"HKXCY"	"325033"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"17,570"	"USD"	"n/d"	""	"Non"
"HONG KONG TELECOMM ADR *"	""	"324778"	"Actions ordinaires"	"330"	"30,500"	"30,500"	"0,000"	"USD"	"3,94"	""	"Non"
"HOP LAVAL ICS 5.15% 4SP13"	""	"J73911"	"Obligations municipales & para-gouvernementales"	"2601421"	"107,587"	"107,587"	"107,587"	"CAD"	"4,79"	"2,916621"	"Non"
"HOP SACR-CR ICS 4% 9MR12"	""	"J20003"	"Obligations municipales & para-gouvernementales"	"2601421"	"103,877"	"103,877"	"103,877"	"CAD"	"3,85"	"2,118211"	"Non"
"HOP SACR-CR ICS3.55%9MR10"	""	"J20002"	"Obligations municipales & para-gouvernementales"	"2601421"	"100,303"	"100,303"	"100,303"	"CAD"	"3,54"	"0,982883"	"Non"
"HORIZON NORTH LOGISTICS"	"HNL"	"324956"	"Actions ordinaires"	"330"	"1,530"	"1,600"	"1,600"	"CAD"	"n/d"	""	"Non"
"HORSESHOE GOLD MINING INC"	"HSX"	"325227"	"Actions ordinaires"	"330"	"0,045"	"0,055"	"0,045"	"CAD"	"n/d"	""	"Non"
"HOSPIRA INC"	"HSP"	"325826"	"Actions ordinaires"	"315"	"51,210"	"51,230"	"51,200"	"USD"	"n/d"	""	"Non"
"HOT HOUSE GROWERS INCM F*"	"VEG.UN"	"326152"	"Fiducies de redevances"	"3308001"	"3,050"	"3,090"	"3,050"	"CAD"	"0,00"	""	"Non"
"HOYA CORP-SPN ADR"	"HOCPY"	"326518"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"29,190"	"USD"	"2,33"	""	"Non"
"HSBC 5.1% NC RD CL-1 PF-C"	"HSB.PR.C"	"310725"	"Actions privilégiées perpétuelles à taux fixe"	"310"	"22,620"	"22,710"	"22,680"	"CAD"	"5,62"	""	"Non"
"HSBC BANK CL-1 6.6%-E PFD"	"HSB.PR.E"	"310733"	"Actions privilégiées"	"310"	"28,010"	"28,100"	"28,100"	"CAD"	"5,87"	""	"Non"
"HSBC CB LIB 8% 26AG15Q"	""	"T76034"	"Obligations (autres)"	"2606000"	"100,028"	"100,028"	"100,028"	"USD"	"8,00"	"7,992715"	"Non"
"HSBC CB LIB U$ T/V26NV16Q"	""	"T76181"	"Obligations (autres)"	"2602230"	"98,550"	"98,550"	"98,550"	"USD"	"0,00"	"0,213692"	"Non"
"HSBC FINL 4.8% 13AV11"	""	"T76375"	"Obligations corporatives"	"2602230"	"103,684"	"103,684"	"103,684"	"CAD"	"4,63"	"1,719216"	"Non"
"HSBC FINL BMT 4% 3MI10"	""	"T76237"	"Obligations corporatives"	"2606000"	"100,818"	"100,818"	"100,818"	"CAD"	"3,97"	"0,961721"	"Non"
"HSBC HOLDINGS PLC-SP ADR"	"HBC"	"310645"	"Actions ordinaires"	"3158000"	"54,860"	"54,880"	"54,900"	"USD"	"2,91"	""	"Non"
"HUANENG PWR INTL INC -ADR"	"HNP"	"328415"	"Actions ordinaires"	"3158000"	"22,460"	"22,500"	"22,460"	"USD"	"n/d"	""	"Non"
"HUBBARD HOLDING INC"	""	"328430"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"HUBBELL INC CL.B"	"HUB.B"	"328427"	"Actions ordinaires"	"315"	"45,160"	"45,190"	"45,150"	"USD"	"3,10"	""	"Non"
"HUDBAY MINERALS INC"	"HBM"	"329382"	"Actions ordinaires"	"315"	"13,040"	"13,100"	"13,090"	"CAD"	"n/d"	""	"Non"
"HUMAN GENOME SCIENCES INC"	"HGSI"	"331240"	"Actions ordinaires"	"315"	"27,230"	"27,240"	"27,240"	"USD"	"n/d"	""	"Non"
"HUMANA INC"	"HUM"	"331270"	"Actions ordinaires"	"315"	"49,570"	"49,590"	"49,560"	"USD"	"1,14"	""	"Non"
"HUNTINGDON R/E INV-TEMP"	""	"332426"	"Fiducies de redevances"	"3308001"	"0,390"	"0,400"	"0,410"	"CAD"	"n/d"	""	"Non"
"HUNTINGDON RL EST INV T/U"	"HNT.UN"	"332424"	"Fiducies de redevances"	"3308001"	"0,500"	"0,530"	"0,530"	"CAD"	"0,00"	""	"Non"
"HUSKY ENERGY INC"	"HSE"	"332631"	"Actions ordinaires"	"315"	"27,750"	"27,910"	"27,790"	"CAD"	"4,32"	""	"Non"
"HYBERLAB TEKNOLOGIES CORP"	""	"332908"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"HYBRID FUELS INC"	"HRID"	"332910"	"Actions ordinaires"	"330"	"0,025"	"0,040"	"0,025"	"USD"	"n/d"	""	"Non"
"HYBRID FUELS INC '33RSTD"	""	"332917"	"Actions ordinaires"	"330"	"0,165"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"HYD ONTARIO 8.25% 22JN26"	""	"B37000"	"Obligations provinciales"	"2601365"	"138,643"	"138,643"	"138,643"	"CAD"	"5,95"	"4,815488"	"Non"
"HYD QUE -SER HM- 15AG20"	""	"B68197"	"Coupons détachés"	"2601385"	"61,902"	"61,902"	"61,902"	"CAD"	"n/d"	"4,649516"	"Non"
"HYD QUEBEC 0% 16AU10"	""	"B68236"	"Coupons détachés"	"2601385"	"99,595"	"99,595"	"99,595"	"CAD"	"n/d"	"0,731163"	"Non"
"HYD QUEBEC 10% 26SP11"	""	"B67945"	"Obligations provinciales"	"2601385"	"114,120"	"114,120"	"114,120"	"CAD"	"8,76"	"1,392782"	"Non"
"HYD QUEBEC 11% 15AU20"	""	"B68216"	"Obligations provinciales"	"2601385"	"156,874"	"156,874"	"156,874"	"CAD"	"7,01"	"4,255422"	"Non"
"HYD QUEBEC HX 10.5%15OC21"	""	"B68023"	"Obligations provinciales"	"2601385"	"153,335"	"153,335"	"153,335"	"CAD"	"6,85"	"4,569966"	"Non"
"HYDRO ONE 7.15% 3JN10"	""	"T76042"	"Obligations corporatives"	"2606000"	"102,297"	"102,297"	"102,297"	"CAD"	"6,99"	"0,646947"	"Non"
"HYDRO ONE 5.18% 18OC17"	""	"T76093"	"Obligations (autres)"	"2606000"	"109,374"	"109,374"	"109,374"	"CAD"	"4,74"	"3,769549"	"Non"
"HYDRO ONE CB 6.93% 1JN32"	""	"T76046"	"Obligations corporatives"	"2606000"	"120,421"	"120,421"	"120,421"	"CAD"	"5,75"	"5,351817"	"Non"
"HYDRO ONE BMT 5.36%20MI36"	""	"T76245"	"Obligations (autres)"	"2606000"	"100,110"	"100,110"	"100,110"	"CAD"	"5,35"	"5,351577"	"Non"
"HYDRO ONE MTN 5.77%15NV12"	""	"T76048"	"Obligations corporatives"	"2606000"	"109,914"	"109,914"	"109,914"	"CAD"	"5,25"	"2,108679"	"Non"
"HYDRO QUE 0% 15FV15"	""	"B68261"	"Coupons détachés"	"2601385"	"82,970"	"82,970"	"82,970"	"CAD"	"n/d"	"3,760322"	"Non"
"HYDRO QUE GLB9.625%15JL22"	""	"B68217"	"Obligations provinciales"	"2601385"	"147,718"	"147,718"	"147,718"	"CAD"	"6,52"	"4,564602"	"Non"
"HYDRO QUE S-JG 6% 15AG31"	""	"B68228"	"Obligations provinciales"	"2601385"	"114,979"	"114,979"	"114,979"	"CAD"	"5,22"	"4,869777"	"Non"
"HYDRO QUEBEC 0% 15AU18"	""	"B68253"	"Obligations provinciales"	"2621385"	"69,352"	"69,352"	"69,352"	"CAD"	"n/d"	"4,322934"	"Non"
"HYDRO QUEBEC 5.5% 15AU18S"	""	"B68282"	"Obligations provinciales"	"2601381"	"111,722"	"111,722"	"111,722"	"CAD"	"4,92"	"3,876888"	"Non"
"HYDROGENICS CORP *"	"HYG"	"332998"	"Actions ordinaires"	"330"	"0,520"	"0,540"	"0,540"	"CAD"	"n/d"	""	"Non"
"HYPERCOM CORP"	"HYC"	"333189"	"Actions ordinaires"	"315"	"3,500"	"3,520"	"3,500"	"USD"	"n/d"	""	"Non"
"I/R-BIOCAPITAL INV LP-2ND"	""	"836135"	"Autres titres"	"330"	"5,500"	"5,500"	"5,500"	"CAD"	"0,00"	""	"Non"
